file_type,creation_date,file_path,last_modified_date,triplet_source_id,file_name,page_label,file_size,last_ingested_at,was_ingested_by_sbom,last_ingested_by_sbom_at,~id,~from,~to,~label
,,,,,,,,,,,neptune_reserved_1_1152921972758282241,a655a315-ea08-46ef-8445-becf2f1b27f60,a3297f95-0c83-4170-a8a8-992b89f075900,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921985643184129,0263df8e-f44c-48e2-b272-7caba77ece7f0,2c28eeb9-d3ce-4b18-939f-51612eeb633a0,MENTIONS
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921547556519938,Component_component_library_alsa-lib,License_license_lgpl-2.1-or-later,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/Software Transparency in SaaS Environments.pdf,2024-09-27,a00f9edd-dafe-4552-ad49-574fe9c42a33,Software Transparency in SaaS Environments.pdf,2,764130.0,,,,neptune_reserved_1_1152921895448870914,a9d8fdcd-322e-40fb-85ea-c0a8ccf009610,803a68f1-8cbf-40f6-bda0-2b3d2dde7ad40,Include
,,,,,,,,,,,neptune_reserved_1_1152921899743838210,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,e59d0f79-d091-4b56-9507-51b414fdc9f80,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921916923707394,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,9b9d418b-7870-4877-a97f-43151dd1ee950,MENTIONS
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921723650179075,Component_component_library_ivy,Reference_reference_,REFERS_TO
,,,,,,,,,,,neptune_reserved_1_1152921809549524995,0263df8e-f44c-48e2-b272-7caba77ece7f0,052eea95-270b-4ee4-941d-c7f4a3ba9d440,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921831024361475,a655a315-ea08-46ef-8445-becf2f1b27f60,4fb71878-fed9-42dc-a9e3-432b14e82e4f0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921835319328771,b219531d-d61f-49c9-a16c-6a92e10784840,a8af48cc-51f9-4de5-aacf-25e6949dccf00,MENTIONS
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921556146454532,Component_component_library_python2-rpm,License_license_gplv2+,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,cf023f66-1c24-490f-8866-9fd4cfbb17de,SBOM Sharing Primer.pdf,16,897107.0,,,,neptune_reserved_1_1152921959873380356,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,4cfaece2-65dc-4f2d-98d7-1b9a44adc0e00,SOURCE
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,a5b0e9e6-9d2d-4956-b855-113eec76a2d1,SBOM Sharing Primer.pdf,4,897107.0,,,,neptune_reserved_1_1152921964168347652,13afb22b-baee-475c-8a80-2574aa3269bb0,33b9dfac-f590-447c-979d-f9be6d07a5a80,Is mechanism
,,,,,,,,,,,neptune_reserved_1_1152921968463314948,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,ff3d4c92-3116-439a-9f21-308def06885b0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921981348216836,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,9799aa1d-997e-4239-9c63-4250236c54180,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921521786716165,Vulnerability_vulnerability_cve-2020-10735,Component_component_application_python,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921538966585349,Vulnerability_vulnerability_alas-2023-2058,Component_component_library_glib2,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921749419982853,Vulnerability_vulnerability_cve-2016-3189,Component_component_application_python,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921758009917445,Vulnerability_vulnerability_cve-2015-20107,Component_component_application_python,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921792369655813,Vulnerability_vulnerability_cve-2019-20907,Component_component_application_python,AFFECTS
,,,,,,,,,,,neptune_reserved_1_1152921839614296069,0263df8e-f44c-48e2-b272-7caba77ece7f0,996102ae-c182-4e39-a336-85843cd729170,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921873974034437,0263df8e-f44c-48e2-b272-7caba77ece7f0,cfc57b37-4980-4b1b-bd2d-c513d19370740,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921891153903621,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,de58c4ca-fabe-4c2e-b13b-e3506b22502c0,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921895448870917,Vulnerability_vulnerability_cve-2022-48565,Component_component_application_python,AFFECTS
,,,,,,,,,,,neptune_reserved_1_1152921899743838213,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,cd563c0b-41ae-474e-aa6a-e856a7dd40850,MENTIONS
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921581916258310,Component_component_library_alsa-lib,Reference_reference_https://alsa-project.org/,REFERS_TO
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921586211225606,Component_component_library_ncurses-libs,License_license_mit,LICENSED_BY
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921882563969030,Vulnerability_vulnerability_alas-2023-2353,Component_component_library_vim-minimal,AFFECTS
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921899743838214,Component_component_library_ivy,License_license_mit,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,ea968dd6-73d1-4c8f-b805-a50ac0ff8b2c,SBOM FAQ 2024.pdf,15,217992.0,,,,neptune_reserved_1_1152921959873380358,5b151b46-bcee-48d2-9e04-9b5f2ecc43050,5c35b802-f1a6-4a64-b067-04e5347db1440,Acts as
,,,,,,,,,,,neptune_reserved_1_1152921977053249542,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,c2269ab9-ec67-49c2-8be5-ec8a8b1708890,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921981348216838,a655a315-ea08-46ef-8445-becf2f1b27f60,99168fc1-65d3-4ba0-89e4-0decde5e4cd80,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921985643184134,a655a315-ea08-46ef-8445-becf2f1b27f60,937d4c49-af9d-41cf-a007-01c524dcc07a0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152922024297889798,b219531d-d61f-49c9-a16c-6a92e10784840,a7813ed1-f289-4ce8-9834-1578a4dbef440,MENTIONS
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921543261552647,Component_component_library_groff-base,License_license_gplv3+ and gfdl and bsd and mit,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,7f9181f0-92e7-4464-9f94-291d1514b1cd,SBOM Sharing Primer.pdf,14,897107.0,,,,neptune_reserved_1_1152921869679067143,a655a315-ea08-46ef-8445-becf2f1b27f60,dc2e5bd5-cfb0-41b5-926c-7db38ea7a6350,SOURCE
,,,,,,,,,,,neptune_reserved_1_1152921878269001735,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,333ee424-a0b7-4441-bfaf-2921b75661440,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921886858936327,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,3b8848af-4b15-4225-b0bd-69fd428424e20,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921891153903623,a655a315-ea08-46ef-8445-becf2f1b27f60,02af5cd3-f963-47c0-b52a-0121b0a5ec6a0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921895448870919,0263df8e-f44c-48e2-b272-7caba77ece7f0,23faed7e-c88c-42c4-9b82-3692f124a99b0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921899743838215,a655a315-ea08-46ef-8445-becf2f1b27f60,382df3f8-2609-4ffc-ac8f-8709677dd5230,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921908333772807,b219531d-d61f-49c9-a16c-6a92e10784840,1eff7ab1-1b10-46b6-a5f2-b9aedd27e4c30,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921912628740103,b219531d-d61f-49c9-a16c-6a92e10784840,a6011ad0-f1b1-4c9d-a703-bec45c60c85e0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921916923707399,b219531d-d61f-49c9-a16c-6a92e10784840,a4efb867-337f-4cbf-b1ad-4e5d07d651ba0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921938398543879,b219531d-d61f-49c9-a16c-6a92e10784840,3c9291dd-2746-459f-b878-05e8d570b94d0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921959873380359,a655a315-ea08-46ef-8445-becf2f1b27f60,8a40358f-a38f-42ec-856f-f0859e2abd030,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921513196781576,Vulnerability_vulnerability_alas-2021-1611,Component_component_library_python-libs,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921526081683464,Vulnerability_vulnerability_alas-2020-1451,Component_component_library_libcurl,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921775189786632,Vulnerability_vulnerability_alas-2022-1885,Component_component_library_expat,AFFECTS
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921831024361480,Component_component_library_rpm-python,License_license_unknown,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/Software Transparency in SaaS Environments.pdf,2024-09-27,055343b7-0264-486d-9229-34996b6a93ef,Software Transparency in SaaS Environments.pdf,18,764130.0,,,,neptune_reserved_1_1152921869679067144,cc207878-656d-49c1-965c-5236014ba5c10,23719d66-5047-4ed5-953f-8c86e0986caf0,Backed by
,,,,,,,,,,,neptune_reserved_1_1152921895448870920,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,ecd5f456-bddf-4de7-b9e2-7cd64474cbfd0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921912628740104,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,1f1cd34a-c24c-4e5a-b251-9f36b1a39c550,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921916923707400,a655a315-ea08-46ef-8445-becf2f1b27f60,0285991b-b180-427b-91eb-7ba0b28db02c0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921921218674696,b219531d-d61f-49c9-a16c-6a92e10784840,105e936e-e4c6-45e7-992a-7d9955426bf00,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921934103576584,Vulnerability_vulnerability_alas-2021-1669,Component_component_library_python-libs,AFFECTS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921508901814281,Vulnerability_vulnerability_alas-2023-2225,Component_component_library_krb5-libs,AFFECTS
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,91f5ed9c-b278-4c4f-822a-bef78161ddb0,SBOM Sharing Primer.pdf,17,897107.0,,,,neptune_reserved_1_1152921891153903625,0263df8e-f44c-48e2-b272-7caba77ece7f0,e8c5d732-ef81-4312-b4eb-504fa722b0a70,SOURCE
,,,,,,,,,,,neptune_reserved_1_1152921908333772809,0263df8e-f44c-48e2-b272-7caba77ece7f0,9013e2fe-cf4d-4f6b-a182-18430c45ff5c0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921916923707401,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,d694393b-304d-4b98-8ac5-4d8a17f784e80,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921925513641993,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,a0e86f71-9fc4-4177-81f9-ff420e285fb20,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921942693511177,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,416d45a9-5f69-4ab8-b15b-e54a28c51b960,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921955578413065,a655a315-ea08-46ef-8445-becf2f1b27f60,326ea877-8b7a-4eba-b9e0-9c2a702659df0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921959873380361,b219531d-d61f-49c9-a16c-6a92e10784840,782ec84b-407a-4127-9283-faeecdb01d9b0,MENTIONS
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921895448870922,Component_component_library_ivy,License_license_bsd-3-clause,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,ea968dd6-73d1-4c8f-b805-a50ac0ff8b2c,SBOM FAQ 2024.pdf,15,217992.0,,,,neptune_reserved_1_1152921899743838218,5b151b46-bcee-48d2-9e04-9b5f2ecc43050,37063bb6-0394-4671-86a1-80358db64ed50,Provides information at
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,b2a0da29-b61a-4071-b5ce-5b6d1ebdbc83,SBOM FAQ 2024.pdf,9,217992.0,,,,neptune_reserved_1_1152921904038805514,0fab5ab7-6732-46c1-b56c-b92cb4bd49980,74510f4b-229c-4c99-a7e0-e3ac54b5868e0,Is
,,,,,,,,,,,neptune_reserved_1_1152921912628740106,a655a315-ea08-46ef-8445-becf2f1b27f60,f46707ee-4211-42fc-8217-23a0b457376e0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921929808609290,a655a315-ea08-46ef-8445-becf2f1b27f60,8c888832-25bc-4c0b-8671-2527663ecaca0,MENTIONS
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,3642c0d4-d4ef-4180-b602-2962bed5a4d2,SBOM FAQ 2024.pdf,14,217992.0,,,,neptune_reserved_1_1152921938398543882,b2b6ac20-d23c-45b1-8404-2ffc0c95798c0,d76a86a2-1153-4dd5-a035-861efedd163c0,Created with
,,,,,,,,,,,neptune_reserved_1_1152921989938151434,a655a315-ea08-46ef-8445-becf2f1b27f60,20f35a10-00e5-4533-908c-926f014625af0,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921517491748875,Vulnerability_vulnerability_alas-2020-1451,Component_component_library_curl,AFFECTS
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,ea968dd6-73d1-4c8f-b805-a50ac0ff8b2c,SBOM FAQ 2024.pdf,15,217992.0,,,,neptune_reserved_1_1152921792369655819,5b151b46-bcee-48d2-9e04-9b5f2ecc43050,ae4b4975-4fbf-4b0e-a5f6-f62aebd59a4d0,Launched
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921796664623115,Component_component_library_setup,License_license_public domain,LICENSED_BY
,,,,,,,,,,,neptune_reserved_1_1152921809549525003,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,9974db8e-47fe-425f-908f-4f721abf74f60,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921831024361483,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,b8928c89-fec6-458d-ae6f-cbbb23d2ad9b0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921852499197963,a655a315-ea08-46ef-8445-becf2f1b27f60,0de28fc5-60c0-4115-8633-4e3b6de11c3b0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921856794165259,a655a315-ea08-46ef-8445-becf2f1b27f60,47b53295-d48a-45e6-a290-6fe85978ae1b0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921865384099851,a655a315-ea08-46ef-8445-becf2f1b27f60,c7171dba-5c9a-43fb-b863-3fc08a303d810,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921891153903627,a655a315-ea08-46ef-8445-becf2f1b27f60,11a1d369-a529-4fbc-859a-13de38c036b40,MENTIONS
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921758009917452,Component_component_library_libacl,License_license_lgplv2+,LICENSED_BY
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921788074688524,Component_component_library_ivy,License_license_apache-2.0,LICENSED_BY
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/Software Transparency in SaaS Environments.pdf,2024-09-27,85827a5f-0c57-4eb6-8b0b-c2dd1f5d261c,Software Transparency in SaaS Environments.pdf,9,764130.0,,,,neptune_reserved_1_1152921839614296076,48ab8676-f71a-4177-afe0-db94d04f5a820,72a82048-ade5-4db7-84d7-d70188c24bb70,Include
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/Software Transparency in SaaS Environments.pdf,2024-09-27,a00f9edd-dafe-4552-ad49-574fe9c42a33,Software Transparency in SaaS Environments.pdf,2,764130.0,,,,neptune_reserved_1_1152921843909263372,a9d8fdcd-322e-40fb-85ea-c0a8ccf009610,2d2a2120-0f06-47bd-bac4-ab2311f9f3ff0,Include
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,ef5fa9d7-83cf-4487-8da0-fa126f70aaa0,SBOM FAQ 2024.pdf,11,217992.0,,,,neptune_reserved_1_1152921848204230668,b219531d-d61f-49c9-a16c-6a92e10784840,247a6ef9-0c34-457d-b7f8-e28ef0bd07a90,SOURCE
,,,,,,,,,,,neptune_reserved_1_1152921869679067148,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,c7a9e4fb-562e-43d1-aab0-f4618820811c0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921873974034444,a655a315-ea08-46ef-8445-becf2f1b27f60,67ef4b14-3dbf-4f83-b4b9-0bb4428065df0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921878269001740,b219531d-d61f-49c9-a16c-6a92e10784840,9eaa0cf2-8a80-40f9-b434-b6db64953cb90,MENTIONS
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,814c12e8-a16c-4bb0-b608-52fb1ebafb30,SBOM Sharing Primer.pdf,15,897107.0,,,,neptune_reserved_1_1152921758009917453,4f0256cf-38de-4153-9468-66336abad25c0,cbd0019e-af33-47f8-94cf-4e51991075320,Unlikely to be made
,,,,,,,,,,,neptune_reserved_1_1152921762304884749,0263df8e-f44c-48e2-b272-7caba77ece7f0,24a33c9f-9810-4862-85d5-695d1b9763a40,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921779484753933,0263df8e-f44c-48e2-b272-7caba77ece7f0,2abc37b7-495a-4227-b76b-2ce038b630630,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921800959590413,0263df8e-f44c-48e2-b272-7caba77ece7f0,a4a9c421-4654-4667-b1b4-abce32a1e75d0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921809549525005,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,da74612f-49db-4192-8fe8-69a4697643b50,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921822434426893,b219531d-d61f-49c9-a16c-6a92e10784840,9f7b1fab-2d08-44d0-915b-aeb196efa99a0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921839614296077,b219531d-d61f-49c9-a16c-6a92e10784840,3c137a18-1b3d-4d7e-9b66-877834d674050,MENTIONS
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921504606846990,Component_component_library_grep,License_license_gplv3+,LICENSED_BY
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921513196781582,Vulnerability_vulnerability_alas-2021-1611,Component_component_library_python,AFFECTS
,,,,,,,,1718294040.286586,True,1718294040.286586,neptune_reserved_1_1152921517491748878,Component_component_library_findutils,License_license_gplv3+,LICENSED_BY
,,,,,,,,1718294047.500202,True,1718294047.500202,neptune_reserved_1_1152921547556519950,Component_component_library_alsa-lib,Component_component_library_musl,DEPENDS_ON
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM Sharing Primer.pdf,2024-09-27,a5b0e9e6-9d2d-4956-b855-113eec76a2d1,SBOM Sharing Primer.pdf,4,897107.0,,,,neptune_reserved_1_1152921964168347662,13afb22b-baee-475c-8a80-2574aa3269bb0,0853f6e3-b7c8-4a9c-9b53-59d963c672010,Is action
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/SBOM FAQ 2024.pdf,2024-09-27,a9e6df99-753e-4669-ba5c-df384910fe8d,SBOM FAQ 2024.pdf,13,217992.0,,,,neptune_reserved_1_1152921968463314958,2324cc45-ba28-4b7a-839a-09a35ab1dcad0,934465b2-77c2-4605-aec2-dee047437ecb0,Must contain
,,,,,,,,,,,neptune_reserved_1_1152921994233118734,2a6483f0-9de7-48e0-bc64-1d09b7c8dab00,46a901d4-0017-4392-88c5-d479c87f143e0,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921998528086030,Vulnerability_vulnerability_alas-2021-1669,Component_component_library_python,AFFECTS
,,,,,,,,,,,neptune_reserved_1_1152922002823053326,a655a315-ea08-46ef-8445-becf2f1b27f60,29c47cbd-009e-4e98-81b7-4653e46c68c40,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152922007118020622,a655a315-ea08-46ef-8445-becf2f1b27f60,d031bfed-8315-4f91-9a9e-af5ea895a3890,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152922011412987918,b219531d-d61f-49c9-a16c-6a92e10784840,caca5ae7-fd13-413f-a9b7-7626803289ba0,MENTIONS
application/pdf,2024-09-27,/home/ec2-user/bechbd/amazon-neptune-generative-ai-samples/solutions/sbom-pgi-chatbot/data/kg_enhanced_rag/Software Transparency in SaaS Environments.pdf,2024-09-27,a00f9edd-dafe-4552-ad49-574fe9c42a33,Software Transparency in SaaS Environments.pdf,2,764130.0,,,,neptune_reserved_1_1152921891153903631,a9d8fdcd-322e-40fb-85ea-c0a8ccf009610,48f9e0ca-b7e2-4a78-a868-6cddaba7f88c0,Include
,,,,,,,,,,,neptune_reserved_1_1152921921218674703,0263df8e-f44c-48e2-b272-7caba77ece7f0,f29cf65e-6eae-4420-a8e8-7f790fd2366c0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921925513641999,0263df8e-f44c-48e2-b272-7caba77ece7f0,f06011f0-8538-4249-996c-255f8e0457460,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921981348216847,0263df8e-f44c-48e2-b272-7caba77ece7f0,c5f7ed4c-5c24-4c45-854c-08c9c260366d0,MENTIONS
,,,,,,,,,,,neptune_reserved_1_1152921989938151439,0263df8e-f44c-48e2-b272-7caba77ece7f0,4e330bd9-6ee3-45d0-8c28-b7bb357ff94b0,MENTIONS
,,,,,,,,1718294041.592056,True,1718294041.592056,neptune_reserved_1_1152921526081748992,Vulnerability_vulnerability_alas-2021-1689,Component_component_library_python2-rpm,AFFECTS
,,,,,,,,1718294047.500202,True,1718294047.500202,neptune_reserved_1_1152921530376716288,Component_component_library_openjdk11-jre,Component_component_library_alsa-lib,DEPENDS_ON
,,,,,,,,1718294045.500803,True,1718294045.500803,neptune_reserved_1_1152921573326389248,Component_component_library_openjdk11-jre,Reference_reference_https://github.com/openjdk/jdk11u,REFERS_TO
